NETWORK PATCHING,,,,,,,,
Device Name,Device Type,Mod/Port,Device Name,Device Type,Mod/Port,Cable Type,IP,
BAS-FIC-0H1E-11S-C01,,ET17,RATE-BAS-P006,,P6P1,10G-CR TWINAX,UCAST-A,BOND1
BAS-FIC-0H1E-11S-C01,,ET18,RATE-BAS-P006,,P5P1,10G-CR TWINAX,BEM-A,BOND0
BAS-FIC-0H1E-12S-C02,,ET16,RATE-BAS-P006,,P4P2,10G-CR TWINAX,MD-B,
BAS-FIC-0H1E-12S-C02,,ET17,RATE-BAS-P006,,P5P2,10G-CR TWINAX,UCAST-B,BOND1
BAS-FIC-0H1E-12S-C02,,ET18,RATE-BAS-P006,,P6P2,10G-CR TWINAX,BEM-B,BOND0
BAS-JPM-0H1E-11S-ML1,,ET9,RATE-BAS-P006,,EM1,1000-T Copper CAT6,MGT-A,BOND3
BAS-JPM-0H1E-12S-ML2,,ET8,RATE-BAS-P006,,P3P2,1000-T Copper CAT6,MGT-B,BOND3
BAS-JPM-0H1E-12S-ML2,,ET9,RATE-BAS-P006,,IMM,1000-T Copper CAT6,,
BAS-FIC-0H1E-11S-C01,,ET19,RATE-BAS-P007,,P1P1,10G-CR TWINAX,MD-A,
BAS-FIC-0H1E-11S-C01,,ET20,RATE-BAS-P007,,P6P1,10G-CR TWINAX,UCAST-A,BOND1
BAS-FIC-0H1E-11S-C01,,ET21,RATE-BAS-P007,,P5P1,10G-CR TWINAX,BEM-A,BOND0
BAS-FIC-0H1E-12S-C02,,ET19,RATE-BAS-P007,,P4P2,10G-CR TWINAX,MD-B,
BAS-FIC-0H1E-12S-C02,,ET20,RATE-BAS-P007,,P5P2,10G-CR TWINAX,UCAST-B,BOND1
BAS-FIC-0H1E-12S-C02,,ET21,RATE-BAS-P007,,P6P2,10G-CR TWINAX,BEM-B,BOND0
BAS-JPM-0H1E-11S-ML1,,ET10,RATE-BAS-P007,,EM1,1000-T Copper CAT6,MGT-A,BOND3
BAS-JPM-0H1E-12S-ML2,,ET10,RATE-BAS-P007,,P3P2,1000-T Copper CAT6,MGT-B,BOND3
BAS-JPM-0H1E-11S-ML1,,ET11,RATE-BAS-P007,,IMM,1000-T Copper CAT6,,
BAS-FIC-0H1E-11S-C01,,ET22,RATE-BAS-P008,,P1P1,10G-CR TWINAX,MD-A,
BAS-FIC-0H1E-11S-C01,,ET23,RATE-BAS-P008,,P6P1,10G-CR TWINAX,UCAST-A,BOND1
BAS-FIC-0H1E-11S-C01,,ET24,RATE-BAS-P008,,P5P1,10G-CR TWINAX,BEM-A,BOND0
BAS-FIC-0H1E-12S-C02,,ET22,RATE-BAS-P008,,P4P2,10G-CR TWINAX,MD-B,
BAS-FIC-0H1E-12S-C02,,ET23,RATE-BAS-P008,,P5P2,10G-CR TWINAX,UCAST-B,BOND1
BAS-FIC-0H1E-12S-C02,,ET24,RATE-BAS-P008,,P6P2,10G-CR TWINAX,BEM-B,BOND0
BAS-JPM-0H1E-11S-ML1,,ET12,RATE-BAS-P008,,EM1,1000-T Copper CAT6,MGT-A,BOND3
BAS-JPM-0H1E-12S-ML2,,ET11,RATE-BAS-P008,,P3P2,1000-T Copper CAT6,MGT-B,BOND3
BAS-JPM-0H1E-12S-ML2,,ET12,RATE-BAS-P008,,IMM,1000-T Copper CAT6,,
BAS-JPM-0H1E-12S-ML2,,ET13,PQT-BAS-F001,,IMM,1000-T Copper CAT6,,
BAS-JPM-0H1E-11S-ML1,,ET13,PQT-BAS-F001,,EM1,1000-T Copper CAT6,MGTA,BOND3
BAS-JPM-0H1E-12S-ML2,,ET14,PQT-BAS-F001,,P3P2,1000-T Copper CAT6,MGTB,BOND3
